"data","loja","tipoCliente","qtde","totalVendido","lucro","margemPercentualMedia"
"26/7/2017","Balibeach - SP","0","10","330,00","131,10","39,73"
"26/7/2017","Balibeach - SP","1","56","1380,00","496,68","35,99"
"26/7/2017","BALIBEACH RIO","0","6","157,00","64,35","40,99"
"26/7/2017","BALIBEACH RIO","1","164","3363,00","1429,23","42,50"
"27/7/2017","Balibeach - SP","0","11","385,00","134,31","34,89"
"27/7/2017","Balibeach - SP","1","30","849,99","239,34","28,16"
"27/7/2017","BALIBEACH RIO","0","2","50,00","24,76","49,51"
"27/7/2017","BALIBEACH RIO","1","395","6111,00","2808,34","45,96"
"28/7/2017","Balibeach - SP","0","7","190,00","60,80","32,00"
"28/7/2017","Balibeach - SP","1","169","4018,95","1356,11","33,74"
"28/7/2017","BALIBEACH RIO","1","114","2045,00","657,75","32,16"
"29/7/2017","Balibeach - SP","0","18","787,00","257,46","32,71"
"29/7/2017","Balibeach - SP","1","3","135,00","28,81","21,34"
